S1_TN	S1_TP	S2_TN	S2_TP	S3_TN	S3_TP	S4_TN	S4_TP	S5_TN	S5_TP	S6_TN	S6_TP	S7_TN	S7_TP
CLK1	2217	1834	3795	3411	2105	2065	2148	2069	3440	3251	2630	2451	1489	1879
POLR3B	2008	2189	3653	4455	3176	3266	3271	4112	3128	3391	3200	3168	2391	3058
ANGEL1	1027	781	2108	2196	2515	1743	2609	2362	1358	992	2741	1662	2171	1755
RNF14	192	200	340	381	273	311	286	315	309	251	254	225	175	121
DNASE1L1	17	23	63	49	45	43	108	92	20	17	85	65	34	22
DDX11	109	118	136	220	90	180	152	347	36	89	56	79	183	294
HEBP1	216	245	274	367	364	245	420	295	365	332	350	209	226	269
GPRC5A	100	8	175	13	472	18	225	10	142	28	184	11	244	35
MAMLD1	3021	4286	3404	7238	3915	6467	4185	9050	3188	4043	2833	4405	3990	5496
CD6	108	45	166	133	388	253	170	170	118	71	93	98	229	177
TACC3	168	258	159	236	212	292	77	82	231	333	162	182	283	265
UFL1	617	700	1163	1774	812	962	1464	1949	1287	1382	1585	1661	532	845
POLA2	395	356	515	461	547	529	868	712	673	594	702	522	670	374
ZC3H3	1099	1038	1019	1097	1265	950	1351	1056	1327	1209	1017	803	676	643
CAPN1	710	787	899	1187	800	815	1339	1639	819	942	758	853	671	792
ACPP	14	23	11	34	9	24	11	17	32	51	26	48	50	109
MDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A9	3712	3581	5951	7313	4667	4801	5738	6039	5959	5377	6804	6953	3501	4420
MTMR11	115	107	238	345	115	160	318	557	210	243	244	332	167	159
COX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC88C	769	144	1045	469	1081	432	213	387	781	343	1078	432	1824	714
YAF2	5973	5534	6042	6251	6896	6219	6482	5388	6104	5582	4933	4564	4005	4694
ZMYND11	10743	9477	12524	12886	10562	10436	10767	11177	13802	12252	11974	11279	8604	8828
WAS	341	555	377	627	369	473	490	588	399	586	436	587	425	791
DPEP1	8	7	0	3	1	3	0	4	2	8	0	3	7	2
BID	1136	1245	663	1106	849	1181	1108	1387	1052	1083	601	691	858	1168
NPC1L1	325	278	37	12	32	8	56	4	596	412	97	19	109	302
XYLT2	445	390	632	740	758	694	725	928	696	506	699	600	721	539
RGPD5	661	489	763	672	594	503	462	337	1038	659	841	633	541	491
STMN4	2785	2151	3074	4390	4489	4214	8135	6930	4297	3448	4175	3207	4502	2654
NUDCD3	6982	6415	8243	9780	7924	7403	9103	11600	8939	7610	7746	6538	5287	4842
ISL1	1	1	0	0	0	3	0	0	0	0	2	1	0	0
CHDH	1817	2438	832	871	897	757	477	581	2310	2663	571	664	1492	2130
IL20RA	11	11	4	29	0	22	41	0	3	23	0	20	0	2
CLCA1	6	23	23	32	22	22	24	128	14	35	25	35	8	9
CLCA4	20	18	29	39	26	52	9	62	11	70	32	63	10	49
GLT8D1	335	351	753	864	661	558	857	722	642	594	507	576	661	392
ATP2C1	7953	7336	9387	9909	7428	6465	8020	8117	11833	9259	10219	8789	4632	6205
IGF1	359	642	36	3500	50	1816	942	3012	763	1575	31	1544	259	866
SLC38A5	94	67	53	61	50	74	97	37	83	72	48	67	92	9
RALBP1	1668	1906	2091	3084	2534	2798	2477	3481	2309	2130	1861	2251	1457	1935
RUFY3	12535	11635	16129	16752	14937	12918	16227	15433	18873	13714	16529	12219	10137	10631
CNTN1	92730	73915	75136	64678	60195	51924	77785	66538	101692	85788	77925	70774	66320	73507
SLC11A1	61	25	24	36	43	34	73	9	42	44	64	31	148	19
WWTR1	1342	1422	640	1170	909	835	1364	1152	1353	1417	695	843	1221	1219
AGPS	3166	3430	3711	4929	3517	3823	4456	4651	3876	3898	3371	3727	2360	2455
ZNF806	26	39	38	64	28	62	15	14	35	44	54	56	50	45
CXorf56	142	176	317	513	362	496	452	468	205	206	298	278	149	338
ATP1A2	476	575	760	559	1153	760	695	674	991	643	1135	789	731	545
TTC27	2129	2296	2579	3273	2846	3164	3271	3700	3101	3217	2436	2485	1693	2466
ZNF582	212	214	272	357	237	260	161	353	385	327	242	195	251	278
VSIG2	537	421	405	409	462	401	267	598	591	550	418	386	266	182
PHLDB1	390	392	292	774	558	724	1890	1071	480	556	246	675	367	283
MARCO	1	3	6	7	1	5	4	2	8	8	0	2	2	1
CYP24A1	1	2	27	11	34	14	40	1	25	12	69	45	53	6
PRDM11	1762	1552	2100	2557	1995	2112	2273	2753	2191	1952	2032	1928	1962	1624
SYT13	4080	3053	4347	6761	3019	3432	5599	7883	4408	4158	3294	3233	3207	3162
SNAI2	110	95	115	84	110	46	453	93	135	100	22	35	44	29
CD74	111	74	56	91	68	95	319	286	124	159	36	41	42	52
HGF	139	224	17	817	27	464	35	830	174	672	34	750	80	440
ZRANB1	1479	1432	2055	2272	1289	1204	1664	1550	2010	1968	1955	1728	751	885
NCDN	7562	6495	3109	4785	7372	7347	6306	8946	5304	4907	5296	4050	6088	5092
ADGRA2	1130	889	1145	1022	1920	1642	2630	1989	1459	1186	1146	899	2057	1287
CCT8L1P	0	0	0	0	0	0	4	0	0	0	1	0	0	0
ZFP64	1219	1490	1868	3636	2131	3131	3760	4780	1816	2067	1518	2387	2100	3029
MNAT1	15090	16713	26569	26423	20429	20405	21985	24273	20339	18748	24757	23476	13514	15915
SAMD4A	4897	7155	3963	11917	4120	8981	6042	10128	5639	8919	2300	5704	4199	7161
RUNX3	0	3	0	1	0	10	0	5	1	0	3	2	0	0
MRE11A	1580	1630	2095	2857	1854	2134	2579	2663	2440	2659	2365	2760	1378	2284
PLEKHB1	74	109	100	189	99	99	427	494	118	145	97	124	63	64
SERPINB1	154	134	557	462	275	228	448	406	286	218	406	319	168	102
CYP3A43	159	238	302	420	350	453	241	254	505	371	801	704	503	1170
SLC7A9	305	357	275	287	470	538	526	499	527	468	234	201	293	400
SPAST	2146	2291	2745	4233	3138	4039	4084	4182	2730	2946	2537	3059	2088	2841
NRXN3	207217	197370	237792	223473	131227	144672	144571	169556	204306	214972	241889	266898	173375	203361
OSBPL5	1478	1305	1658	2106	1823	1743	1598	2272	1397	1692	1412	1532	1568	1684
AQR	3027	2586	4322	5323	3297	3372	4180	4311	4443	3931	4228	4062	2397	2283
CPS1	649	860	655	1160	519	917	948	1174	770	1003	598	1200	650	540
C8B	8	1	8	10	1	1	0	44	6	9	6	2	9	1
FHL1	3457	2790	3850	4178	3399	3153	4144	5228	3896	3455	3905	3292	3544	3007
RTFDC1	380	383	798	943	465	543	491	1008	665	546	759	608	415	676
GABRA1	6936	6922	9660	13462	5917	7541	11466	14878	10874	9228	8348	9235	4372	4780
NLRP2	0	1	0	0	0	2	1	0	0	0	0	0	0	0
SLC45A4	3148	2854	2587	3168	2771	2818	2337	2904	2857	2655	1593	1826	2087	3310
RNF10	1436	1355	2075	2536	1863	1748	1896	2368	1736	1456	2064	1580	970	1159
ZNF839	380	349	467	565	631	670	531	1344	559	497	584	601	320	588
ZDHHC6	919	767	1302	1644	1581	1633	1348	1237	1372	1373	1569	1603	955	931
GRAMD1B	12745	11354	12846	17077	14127	14076	18462	19038	12027	11329	12876	12191	9373	10432
RNH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS1	2329	2235	2751	3446	2926	2851	3102	3226	2752	2595	3542	3288	1708	1962
RB1CC1	6564	6360	8775	11166	7681	7973	7402	8867	9328	9064	11253	11143	5853	6705
ERP44	4353	4891	6421	7351	5406	5301	4772	5923	6031	5689	6260	5442	3769	3410
ALAS1	325	323	428	553	379	466	410	883	326	334	364	361	543	366
BIRC3	56	165	55	188	22	66	259	272	115	356	39	77	37	40
AKAP11	8657	7537	11890	15629	11088	10568	12365	17623	13234	11733	13931	12378	8396	6405
GLRX2	104	165	96	148	111	110	27	122	142	176	112	87	39	112
SNAPC1	425	521	916	1105	616	739	740	1020	829	813	967	1013	377	575
DERA	778	906	831	1202	817	1138	1378	1185	1315	1145	1138	1397	712	849
STRAP	611	586	992	1295	724	669	1157	1505	937	807	844	844	269	226
ABCC2	92	64	84	75	73	66	88	78	184	123	53	67	130	112
DEF6	96	114	171	190	199	142	148	287	126	138	70	81	171	175
PLEKHO1	501	447	485	790	630	840	754	1350	533	587	458	623	982	514
GCLM	831	943	940	1358	791	1157	1657	2156	1143	1057	739	883	473	1086
UBR2	7374	7200	9625	11323	10703	10470	12052	13596	11271	10274	11681	11595	8418	11469
EHD2	87	65	120	71	197	92	178	57	132	49	93	64	196	17
DEPDC1	16	17	19	58	13	26	27	32	30	34	12	44	11	13
CCDC28A	1015	1011	2217	2685	2268	2093	2790	3565	2032	1880	2703	2332	1932	1645
RRAGD	2400	2146	3396	3592	3265	2764	5196	3562	3349	2592	3196	2610	2641	2114
HSF2	1071	1540	1860	2439	1127	1538	1934	2203	1915	1969	1825	2087	737	1284
PHF20	2723	2729	3458	4202	4466	4337	5976	5355	3327	3146	3096	2544	3296	2992
HSD17B6	76	120	47	133	105	145	166	250	90	141	41	122	57	149
NR1H3	332	259	279	459	443	585	462	637	506	374	250	345	590	511
TYMP	9	14	24	43	8	14	4	5	26	31	8	20	4	4
NCAPH2	198	199	302	302	302	194	249	486	332	268	272	253	235	234
TOMM34	20	37	62	95	88	61	27	65	72	61	97	53	23	21
SEC63	3130	2701	5199	5139	5826	4560	5313	5323	5289	4456	6019	4842	5796	4464
KPNA6	1434	1445	1906	2068	2701	2439	3094	2847	1704	1686	1927	1713	1663	2059
VIM	10	11	15	36	7	8	171	139	41	54	9	12	17	11
RTEL1-TNFRSF6B	34	29	33	26	37	40	56	72	40	50	49	59	14	26
FAS	254	192	97	274	75	198	188	198	419	407	90	153	182	219
RNASET2	2	0	2	8	1	0	3	1	3	1	0	2	0	1
CD44	36	67	16	28	3	7	162	113	185	236	17	16	85	36
KCNG1	119	123	481	404	323	251	1336	926	559	329	212	120	331	120
AGPAT4	13875	12898	16826	17602	16430	12743	20397	19915	17932	16454	14410	13340	14482	13289
SLAMF7	2	0	0	0	0	0	0	0	0	1	0	0	0	0
BTN3A1	83	132	90	300	62	168	285	666	102	191	57	218	224	111
MIPEP	5171	4882	6171	7365	5675	6185	7253	6994	6166	5823	6449	6870	4292	4642
PRKCH	223	301	351	571	420	465	503	898	433	718	569	759	1140	2167
INSRR	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNGR1	622	642	895	1302	740	873	1167	1328	850	919	1027	1112	765	523
B4GALT7	300	275	339	442	431	474	437	660	414	346	361	342	265	378
SH2D2A	4	1	17	15	12	9	23	16	11	14	20	5	15	5
VRK2	675	289	221	377	211	220	1211	284	306	318	203	229	151	260
TNFRSF1B	2	10	9	10	3	7	31	6	16	36	18	11	80	2
VEZT	5596	5718	11020	12855	9969	10577	15615	13703	9005	8201	10815	9594	7286	8231
POU2F2	1858	1456	2338	1682	3578	1864	3021	3028	2057	1571	2436	1611	2544	1642
BRD9	1635	1241	1704	1169	1279	725	599	953	1846	1707	1579	938	848	657
SNX1	2612	2440	3116	3212	3051	2323	3168	3094	3159	3134	3547	2885	2304	2531
TBPL1	2469	2381	3409	3363	1766	1448	1973	2406	3221	2816	2605	2165	1358	1348
ARNTL2	3038	3177	4427	4404	3607	3698	4410	2947	4392	3721	4536	4120	2865	2681
BCLAF1	4863	3421	6675	6763	5336	4199	5725	5363	7320	5752	7890	5895	4351	3804
SLC39A9	1627	1413	2647	2933	2286	2326	2780	2982	2462	1891	2784	2202	1472	1517
ANK1	1988	3821	201	5761	781	6388	1932	5617	1435	3509	350	4370	2553	5342
IBSP	1	0	0	1	2	5	0	0	2	2	0	2	0	0
TFB1M	1114	1153	1706	2489	1256	1665	1347	1960	1496	1280	1320	1539	740	1412
RABEP1	3450	3297	4423	4822	4767	4866	5230	5307	4630	4233	4460	3979	4106	4198
HMGB3	18	21	20	61	42	86	37	119	18	12	53	82	3	19
NUP160	1806	1343	2399	3030	2789	2655	3008	3307	3087	2385	2439	2445	1629	1906
BAK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUSK	11	30	30	60	31	34	630	109	39	65	56	79	121	31
IKZF2	1035	1422	1115	1577	1163	1007	2606	1949	1469	1511	1344	1472	753	1368
GRN	85	79	85	121	95	59	212	168	88	98	114	91	67	45
FAM13B	4451	3867	6868	7914	5989	7103	7622	7820	6489	5485	7663	7377	4665	4810
ARHGAP31	147	527	72	474	148	397	354	801	101	524	75	427	287	477
CENPQ	120	132	149	257	155	209	206	277	296	288	202	259	117	283
SARS	1468	1229	2310	2390	2661	2114	3140	3126	2240	1607	2404	1940	2337	1404
RANBP3	3686	3250	3331	4344	3445	2837	3917	5140	3864	3796	4040	3563	3742	3495
ARID4A	4276	3974	5439	6270	4588	4453	4425	5499	5945	6606	5747	5702	4174	4169
TSSC1	6749	5616	5669	7024	5958	5710	5652	5830	7534	7508	5414	5644	4311	4124
PNPLA6	407	383	430	464	648	534	682	759	483	633	593	533	354	350
IFT88	2171	1978	3392	4946	3219	4139	4541	4784	3663	3446	3283	3762	2812	2605
ALG1	202	232	210	235	286	173	329	204	291	270	322	287	223	130
ZCCHC8	1335	912	1156	1155	1484	1330	1480	1329	1808	1363	1276	1163	1914	1630
ABCF2	413	428	518	721	579	602	510	916	517	460	466	518	310	331
CHPF2	488	363	540	595	566	317	301	315	553	531	586	544	203	209
LRRC7	111203	108253	125885	119739	102324	90558	127020	115199	136994	134217	135027	129395	98137	111451
FUT8	8172	11094	8814	15458	7669	12516	13442	14566	9515	12199	7908	11777	5516	8172
UBA6	2336	2206	4964	6327	3348	3378	4256	4357	3918	3653	4545	4677	1786	2041
GAB2	5781	5291	4470	6155	4072	4857	9247	8787	6597	6400	3345	3815	6637	6606
ATP6V0A1	7107	7703	11735	15321	11087	11119	16043	20055	10746	9782	11994	11168	9002	9440
PIAS1	7576	7138	12480	12467	11768	9303	13559	13404	11769	9569	18037	12728	10652	10971
SLC4A7	2873	1910	3009	4572	3029	3705	4027	4604	3641	3256	2447	3397	1466	1886
APBA2	1142	1035	1209	1475	1094	1070	1627	1065	1004	1133	670	866	1277	1211
MAP2K3	413	413	412	492	483	484	531	783	387	309	286	227	448	399
EFCAB1	424	397	939	388	992	283	1065	781	494	375	766	362	665	317
TMSB10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASTE1	834	588	663	578	344	331	406	297	1207	877	513	437	572	477
RNF19A	4153	3150	4864	4709	3090	2736	3557	3072	5120	4315	3949	3408	2216	2880
PEX3	1700	1818	3068	3798	2091	2508	1986	2663	2832	2845	3369	3163	1131	1681
GABARAPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOC	5	11	12	4	16	8	8	16	13	13	3	5	0	3
SH3YL1	6407	5680	10138	9196	9150	8767	8650	7726	10811	10450	8889	7324	7189	6660
FAM136A	123	134	234	361	239	298	549	463	190	227	148	197	109	315
VCL	2586	2404	4289	4841	3348	3450	3163	4273	3349	2909	3796	3369	2340	2886
DEPDC1B	246	361	771	441	479	324	590	296	388	362	727	498	287	411
DAPK2	1123	1409	361	1020	552	1411	1293	777	964	1202	632	1676	1619	1381
NSMAF	4531	4349	8388	9224	5238	5667	5556	6361	8746	7425	7920	7672	4758	4376
ADSS	1547	1851	2944	3247	2313	2497	2492	3219	2861	2705	4225	4599	2032	2848
STAP1	12	9	13	34	20	13	4	30	47	60	38	31	3	12
TIMP2	496	712	442	2403	628	2623	3229	8154	937	1391	392	1386	781	1071
RFC1	1159	1194	1418	2144	1384	1703	1787	2318	1789	1854	2135	2289	1068	1048
TBC1D23	1898	1866	3227	3395	3039	2837	3621	3517	3026	2805	3304	3042	1784	2112
CUL3	4055	3531	6951	6667	4591	4212	7473	5838	5846	4831	6272	4798	2303	2334
MYOM2	238	242	538	199	492	164	262	278	636	365	330	181	220	211
OTC	18	31	10	4	40	29	11	5	31	37	12	12	1	35
CYP46A1	2089	1926	4077	3900	4546	4574	4492	5685	3859	3676	4512	3719	3743	4748
ZZZ3	5509	4907	7158	8737	5766	6343	8257	8806	7564	6681	7346	7629	3911	4883
SLC18A1	8	5	2	7	15	1	1	0	2	2	10	12	5	1
USP2	1026	966	1255	1386	1450	1152	1806	1657	1457	1195	1822	1192	2052	1544
CASR	12	6	1	5	4	25	2	56	5	18	4	8	32	3
TUBG2	474	623	1180	1150	1577	1508	1182	1904	866	897	1321	1144	1089	1176
RPL26L1	39	88	154	192	85	70	84	228	120	97	91	79	10	56
FLT4	4	11	12	9	31	19	27	12	18	6	8	11	3	4
NSUN2	871	885	2341	2333	1389	1147	2351	1855	1351	1316	2929	2542	997	926
FBXO42	5468	5832	5818	7107	7134	6537	8283	8635	7784	7111	5561	4908	6619	5784
MFAP3	3004	2683	5294	6306	5739	5636	7118	6460	5346	4825	6084	5817	5645	6965
MRI1	373	313	347	560	278	311	418	334	416	381	317	323	129	210
METTL1	29	10	22	34	48	16	10	14	32	21	25	19	23	31
HOXC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGA	18	17	133	181	66	80	198	158	80	73	184	156	20	52
BOD1L1	6450	6073	8193	9516	8090	8212	5775	7467	9375	9652	10200	10179	6990	8203
MAT2B	284	313	479	804	427	513	511	804	446	438	481	640	138	298
TLL1	1330	1846	497	3484	636	3174	1510	3057	1686	4343	387	3432	1185	3043
EDC4	311	226	312	312	229	214	260	259	328	260	404	367	262	369
TRIO	48094	41376	50076	53601	39977	36280	46388	46832	58627	51339	53940	53580	34999	37816
VCAN	103	276	53	823	43	466	492	1555	206	759	61	401	406	174
CLEC16A	10148	9102	9831	12704	10963	9967	12033	14122	11287	11661	10771	11065	10976	11785
MSR1	92	83	39	537	72	340	170	322	229	218	66	336	169	135
CDH1	49	28	4	30	8	34	56	6	48	36	16	9	35	26
SKIV2L2	4510	3733	6147	6648	6508	5583	5779	5745	7085	5650	9700	6239	5447	4913
DNAH5	260	447	1151	1262	897	716	1278	1546	2235	1251	1602	1798	598	716
ZFYVE16	4779	5283	6308	10058	6128	7684	5700	6657	8462	9783	7087	9497	5320	6307
FAM65A	1773	1888	1676	1977	1802	1606	1586	2474	1725	1855	1446	1368	1173	1749
C6	142	186	46	95	50	130	74	105	92	204	55	125	125	91
RAI14	428	526	644	713	875	761	556	861	425	452	751	566	496	600
SOX30	56	39	129	69	67	41	120	311	77	53	99	44	27	143
PNKP	41	60	165	154	127	128	114	152	77	95	136	106	71	192
BEST2	8	12	3	1	7	2	1	10	12	4	0	1	17	0
PHLPP2	2579	2734	4315	5226	3514	3625	6022	5409	4150	3882	4518	4041	1944	2455
SPDL1	391	434	569	677	414	428	611	824	742	692	613	673	190	470
STAU2	12719	12483	13096	17813	10648	13362	14454	15717	15139	14476	11232	14235	9348	10893
PQLC2	126	185	181	250	327	280	351	362	202	186	165	145	241	211
CTNS	268	218	206	319	301	259	390	401	344	317	226	207	515	283
RTN4R	976	727	1401	1243	826	572	844	1136	1151	970	797	536	676	456
PHF23	64	58	57	96	149	107	51	264	64	52	49	54	14	101
CDH10	14558	15795	13495	15667	11384	11865	18671	15253	22759	21359	17876	18129	10140	12980
INPP4A	20180	18955	20166	21969	18132	16141	18873	21138	22911	23507	26340	22343	17319	18633
RAB27B	8447	12667	8904	14188	5385	8733	13756	13058	9648	12482	5681	9125	6207	11335
PSMA4	461	322	645	722	631	548	453	1120	586	514	572	533	516	358
MYO16	2649	7487	1953	13239	1762	11515	5949	13969	4781	14287	3618	14354	5047	12693
LSG1	237	269	445	500	272	250	495	437	396	419	214	240	131	355
PARP3	59	79	108	133	100	109	48	155	93	102	113	126	36	231
TNC	92	122	196	193	250	170	145	167	214	285	151	155	377	119
THAP3	52	58	66	125	112	138	95	166	74	107	69	81	108	249
FAM65C	255	262	320	461	158	209	438	540	331	331	151	170	217	183
TDP1	2230	2348	2429	3509	2454	2787	2710	3051	2877	3080	3917	3790	1811	2840
AIFM2	379	398	1133	958	814	608	932	1209	944	973	1329	971	394	822
C2orf83	7	20	8	8	24	22	0	0	5	9	16	7	6	9
SPATA7	3646	3850	10701	11476	5454	6015	8619	8544	5290	4840	7522	7188	3950	5948
MED17	840	941	1014	1563	1016	1053	1179	1377	1206	1342	942	1084	674	1273
RETSAT	85	102	140	237	173	136	273	210	137	127	127	177	90	118
CAPG	5	0	5	13	5	3	1	24	6	4	4	6	3	1
AP2S1	208	198	227	224	354	330	333	481	190	236	154	142	339	335
USH2A	1574	1441	881	1168	1106	994	992	473	1653	1967	1191	1678	1036	1667
ZPBP	263	512	274	1944	165	1293	506	1521	329	953	198	923	626	974
TG	538	343	157	192	333	128	873	672	624	536	345	274	285	145
ADAM28	109	172	47	168	43	94	143	72	207	216	92	128	117	220
BARX2	163	215	36	397	18	228	46	110	86	222	47	268	31	82
DCUN1D1	1885	2210	2148	2698	1971	2399	1641	2067	2555	2522	1854	2130	1598	1640
JADE2	2550	2287	2429	3297	2961	2631	3192	4327	3176	2924	1695	1492	2175	1819
ZIC2	4	7	3	1	0	3	4	1	5	17	3	4	1	0
LCP2	139	202	75	355	112	269	103	181	200	298	111	307	94	145
TRIT1	2822	2202	3620	3630	2811	2213	4242	3119	3228	2725	3720	3108	2606	2111
ADRB1	211	158	243	206	133	135	255	300	235	156	202	164	107	84
GUCA2B	0	0	0	0	0	0	0	0	0	2	0	0	0	0
CUL7	111	83	106	103	202	101	311	148	150	101	87	74	111	83
CTNNA1	4417	4240	8283	7662	8132	7373	12590	11921	7371	6024	12275	11882	6377	7071
PHKA2	1559	1628	1381	2186	1448	1689	1926	2120	1487	1733	1625	1827	1536	2279
CNTLN	2382	2494	2587	3433	2314	2769	2050	2066	3325	3526	3099	3672	2053	1698
EPHA3	4226	5303	6541	11257	3824	6660	3782	5953	7983	9139	8177	10343	4237	6777
HSPA5	800	704	632	892	667	546	1864	2492	1269	1056	1010	590	599	534
DSG2	23	20	121	57	29	48	60	50	20	27	74	47	73	34
GEMIN8	365	235	693	1031	593	612	911	756	455	497	587	699	537	352
OFD1	2126	1913	2451	3095	1737	2076	2245	1834	3242	3272	2562	2464	1777	1740
GPM6B	30515	23769	28223	24717	22427	16817	30132	24674	25787	20365	20427	16266	19306	19645
MAGEC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREX2	988	1791	121	2212	106	1655	1273	2039	914	2528	203	2030	800	832
WDR37	6874	5932	7970	8011	9072	7135	7489	7153	9818	8616	10118	8441	6302	6563
YTHDC2	5897	5465	10376	12976	6122	7270	8283	9657	10226	9090	9883	10872	4335	5275
CTPS2	1021	1030	705	1735	944	1491	1121	1696	1139	1466	893	1430	782	1283
ATP6V1H	14654	14202	21152	16976	18734	13743	17243	17512	20587	16941	23238	16865	15893	15573
POLR2B	1009	1002	1551	2161	1312	1290	2362	2285	1537	1444	1910	1721	613	953
FAM214A	5169	4635	4440	4796	3727	3773	4071	4173	5188	5622	2983	3287	2885	3157
ARAP2	13665	14316	14185	13708	9960	10501	12112	8865	21101	20551	19974	18264	11329	13376
TPR	3946	3598	4233	5411	2771	3030	2631	3526	6064	6065	5391	5348	4143	3444
CP	198	185	211	324	158	133	469	500	295	275	258	293	477	150
KIAA0556	3555	3266	4196	4355	4940	4415	5636	5956	4392	3900	4691	4128	4928	4761
DTNBP1	2141	2086	3174	3328	2413	2226	2425	4007	3066	2990	2937	2167	2959	2107
XK	551	531	776	1102	561	808	477	1017	935	820	797	960	314	364
ANO2	1923	600	3362	1132	2297	785	758	478	5095	1885	1565	625	657	712
C12orf4	1854	1907	3267	3943	2203	1968	2315	2610	3965	3186	2987	2811	1442	2074
SCML1	224	214	436	629	272	348	682	875	410	312	483	529	149	264
WWC3	2624	2420	3199	3633	3169	2882	3077	3374	3010	2788	4004	3717	1866	3124
ARHGAP6	1035	1681	1411	2534	1259	1689	2118	4204	1880	3687	2608	2633	1046	2049
FAM184B	1495	1782	3042	3234	2960	3496	2788	3918	3372	3319	4339	4765	3971	5342
MAP4	3524	3958	4981	6159	5832	6470	7875	7799	5083	5192	4370	4127	4788	3959
GOPC	1673	1721	3228	2901	2345	1930	1886	2157	2297	2305	3666	3088	1757	1885
ROS1	467	614	342	376	222	260	250	281	492	407	349	288	158	222
USP28	3865	3265	5300	5523	4751	4117	4355	4250	5672	4097	5810	4510	3509	3887
HDAC9	25068	21065	40670	37906	26054	27308	20488	27147	31066	27033	39930	36020	21455	30933
TSPAN17	795	693	681	617	844	642	997	661	968	961	464	316	1443	749
NOP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC2D2A	9463	7192	8925	8925	10123	9017	9381	8894	10138	9278	12931	11260	19796	22422
RRM2B	516	388	954	1041	658	653	891	771	876	650	820	693	408	751
ZNF800	3158	3962	3336	4593	2531	3324	2770	3460	5108	6129	3186	3490	2527	3534
TNFRSF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX29	9885	7634	11024	7624	13392	7179	11299	9565	10097	7434	15009	7904	9835	6867
LMO3	56	82	86	76	137	82	58	99	162	144	97	53	113	25
MRPS10	380	330	465	688	451	568	755	842	527	392	494	442	207	126
GUCA1A	17	5	8	3	6	9	5	16	21	8	10	9	0	14
RSF1	5904	7809	9523	12101	8116	9885	11555	11439	9139	10612	9106	9336	6529	7375
VPS13D	15101	14718	15774	18563	15121	14607	18911	18105	20971	20723	19338	19203	14284	18215
CELF2	139674	87758	159956	106048	99835	57949	120479	98816	157771	118427	161163	105700	98686	79899
FAM120A	7030	6209	10319	10809	7252	6250	9352	10568	9151	7822	8162	6759	4637	4460
R3HDM1	60777	35560	104779	52912	92056	46373	64476	42918	91349	56336	123327	64717	88856	58980
COL9A2	4	6	2	9	1	11	63	13	1	9	7	9	4	4
KITLG	3398	2279	6048	4827	3710	2958	3363	2911	5273	3015	7766	3888	3623	2838
ERCC8	2157	2053	3462	3739	3910	4340	3001	2880	3659	3674	3606	3576	3724	3720
ADAMTS6	441	917	242	2413	283	1548	521	1221	599	1474	216	2012	564	1532
H6PD	727	758	924	1721	1153	1027	1065	1175	869	947	922	1042	834	760
VAMP3	801	778	1616	1823	1393	1188	1352	1197	1521	1319	1514	1197	1114	724
PER3	2335	1941	2790	3624	1622	2093	2370	2889	3156	2965	2911	3035	1943	1997
UTS2	82	95	76	53	16	23	16	70	56	53	12	40	197	35
TNFRSF9	1	3	2	1	8	11	3	1	3	0	2	5	35	1
EPN3	38	29	40	45	61	61	55	39	36	64	79	92	12	83
LTBP1	2302	5020	399	1251	855	1853	1305	1179	862	1808	596	1483	1781	2947
RCN1	210	186	356	377	550	479	513	611	291	279	302	283	354	346
ELN	179	120	128	135	269	166	370	299	152	178	111	129	302	155
RFC2	86	76	93	184	134	204	350	140	99	80	109	98	217	143
ARID1B	40833	35720	34165	37938	27648	28345	33109	36277	44145	42604	36902	36050	25473	30685
CLPTM1L	15	44	78	82	179	156	209	174	72	67	55	33	33	73
NEDD4L	24717	24641	29853	29757	24133	20395	26449	26597	26187	25226	32993	25352	20853	24882
FOXP3	171	64	114	62	166	51	77	16	170	52	177	44	158	7
PPP1R3F	811	800	943	1047	1158	969	1511	1877	1240	1020	986	820	660	774
HEXB	2011	1705	2557	2893	3105	2628	2476	2321	2557	2494	2874	2631	2605	2510
PTCD2	960	813	1640	1913	1411	1442	1910	1973	1708	1341	2006	1473	1009	1062
KIAA2022	10211	10042	11705	13303	12734	12916	12311	12726	12875	12890	12005	10469	13477	12922
JKAMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK3	5632	6459	4845	7476	4823	4514	7708	11489	5939	6574	4888	5378	5276	5549
ARHGEF5	0	1	1	1	2	0	0	0	0	2	1	2	3	0
NFE2L3	1196	1172	1000	1203	555	584	583	1114	1396	1683	907	1260	809	515
MCUR1	694	734	1182	1628	1109	1193	1525	1625	1105	914	1577	1269	1298	900
LIMA1	499	556	749	1089	785	965	1163	1072	673	858	740	929	1197	763
